Event,Data_Source,Depth [m],Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing non-spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-facultative spinose,symbiont-obligate spinose,undetermined non-spinose
RC15-093,forcens_lgm,102,-46.086,-13.218,181,111,0,0,25,0,0,0
RC15-094,forcens_lgm,120,-42.969,-20.851,309,26,0,0,115,0,0,0
RC17-069,forcens_lgm,0.6,-31.5,32.6,24,33,0,6,161,0,78,0
RC17-073,forcens_lgm,0.3,-32.11666667,36.01666667,34,45,0,11,130,0,81,0
RC17-098,forcens_lgm,0.53,-13.21666667,65.61666667,32,10,0,10,114,0,133,1
RC17-108,forcens_lgm,0.4,-10.508,57.72,19,51,0,47,80,0,107,0
RC17-113,forcens_lgm,0.3,15.033,66.097,15,17,0,3,155,0,111,0
RC24-001,forcens_lgm,72,0.567,-13.35,98,16,0,2,195,0,84,0
RC24-008,forcens_lgm,120,-1.35,-11.917,106,33,0,0,202,0,29,0
RC24-027,forcens_lgm,72,-5.417,-0.367,36,10,0,1,125,0,162,0
RC8-94,forcens_lgm,16,-27.283,-102.083,238,69,0,145,329,0,1128,16
RC9-124,forcens_lgm,40,-28.75,172.6,260,139,0,11,251,0,444,1
RC9-126,forcens_lgm,30,-33.233,168.733,355,253,0,4,412,0,257,0
RC9-178,forcens_lgm,,33.733,27.917,394,189,0,0,72,0,238,0
RC9191,forcens_lgm,,38.2,18.033,1025,505,0,4,250,0,3,0
RE05-034,forcens_lgm,40,42.383,-21.967,206,134,0,0,88,0,23,0
RE05-036,forcens_lgm,70,46.917,-18.583,332,6,0,0,1,0,0,0
RE05-054,forcens_lgm,10,25.868,-19.051,171,70,0,3,83,2,39,0
RE05-057,forcens_lgm,100,19.652,-19.1,139,185,0,5,84,0,30,0
RE10-002,forcens_lgm,60,56.984,-12.467,339,19,0,0,0,0,0,0
RR9702A-63TC,forcens_lgm,16,-18.085,-79.04,86,98,0,1,274,0,29,2
RR9702A-69TC,forcens_lgm,70,-16.007,-76.378,104,160,0,0,127,0,24,0
RR9702A-69TC,forcens_lgm,80,-16.007,-76.378,154,43,0,0,144,0,15,0
RS067-GC10,forcens_lgm,0.505,-38.86166667,140.1,112,159,0,0,45,0,1,0
RS096-GC21,forcens_lgm,0.29,-23.77216667,108.5006667,14,10,0,7,127,0,85,0
RS147-GC07,forcens_lgm,0.85,-45.15,146.2833333,169,113,0,0,65,0,1,0
RS147-GC07,forcens_lgm,0.87,-45.15,146.2833333,211,132,0,0,73,0,3,0
RS147-GC07,forcens_lgm,0.88,-45.15,146.2833333,104,120,0,0,50,0,5,0
RS147-GC07,forcens_lgm,0.91,-45.15,146.2833333,149,149,0,0,50,0,0,0
RS147-GC07,forcens_lgm,0.935,-45.15,146.2833333,193,269,0,0,94,0,13,0
RS147-GC07,forcens_lgm,0.985,-45.15,146.2833333,212,311,0,0,85,0,14,0
RS147-GC14,forcens_lgm,0.25,-46.45,145.24,147,118,0,0,45,0,5,0
RS147-GC31,forcens_lgm,0.69,-44.53,149.05,102,163,0,0,50,0,0,0
S794,forcens_lgm,1.39,-35.31,177.9966667,182,74,0,1,122,0,18,0
SHI9006,forcens_lgm,5.99,-4.33223,117.59584,13,53,0,14,216,0,159,0
SHI9016,forcens_lgm,0.52,-8.455833333,128.238,31,24,0,29,198,0,179,13
SHI9022,forcens_lgm,5.79,-11.35444,122.03799,37,14,0,21,154,0,126,0
SHI9034,forcens_lgm,8.3,-9.09764,111.00721,115,61,0,12,187,0,45,0
SO189-119KL,forcens_lgm,,3.5178,96.3145,69,33,0,34,188,1,293,9
